System_Requirement,Software_Requirement,SIL,Hazards,VER_Verified,Comments
SYS-REQ-001,REQ-FUN-001,3,HAZ-003,PENDING,
SYS-REQ-002,REQ-FUN-001,3,HAZ-003,PENDING,
SYS-REQ-002,REQ-SAFE-001,3,HAZ-003,PENDING,
SYS-REQ-003,REQ-FUN-003,2,,PENDING,
SYS-REQ-003,REQ-PERF-004,3,,PENDING,
SYS-REQ-004,REQ-FUN-002,3,,PENDING,
SYS-REQ-005,REQ-FUN-004,3,,PENDING,
SYS-REQ-007,REQ-SAFE-004,3,"HAZ-002, HAZ-004",PENDING,
SYS-REQ-009,REQ-FUN-007,2,,PENDING,
SYS-REQ-010,REQ-FUN-007,2,,PENDING,
SYS-REQ-011,REQ-FUN-006,2,,PENDING,
SYS-REQ-012,REQ-FUN-005,3,"HAZ-001, HAZ-005",PENDING,
SYS-REQ-012,REQ-FUN-008,3,HAZ-001,PENDING,
SYS-REQ-013,REQ-FUN-008,3,HAZ-001,PENDING,
SYS-REQ-013,REQ-FUN-010,3,"HAZ-001, HAZ-003",PENDING,
SYS-REQ-013,REQ-SAFE-002,3,"HAZ-001, HAZ-003",PENDING,
SYS-REQ-014,REQ-FUN-005,3,"HAZ-001, HAZ-005",PENDING,
SYS-REQ-014,REQ-SAFE-005,3,"HAZ-001, HAZ-005",PENDING,
SYS-REQ-015,REQ-FUN-010,3,"HAZ-001, HAZ-003",PENDING,
SYS-REQ-015,REQ-SAFE-001,3,HAZ-003,PENDING,
SYS-REQ-016,REQ-FUN-009,3,"HAZ-001, HAZ-005",PENDING,
SYS-REQ-016,REQ-INT-008,3,,PENDING,
SYS-REQ-016,REQ-SAFE-003,3,"HAZ-001, HAZ-005",PENDING,
SYS-REQ-017,REQ-FUN-009,3,"HAZ-001, HAZ-005",PENDING,
SYS-REQ-017,REQ-INT-008,3,,PENDING,
SYS-REQ-017,REQ-PERF-005,3,HAZ-001,PENDING,
SYS-REQ-021,REQ-INT-011,2,HAZ-008,PENDING,
SYS-REQ-021,REQ-SAFE-012,2,HAZ-008,PENDING,
SYS-REQ-023,REQ-FUN-011,3,,PENDING,
SYS-REQ-023,REQ-FUN-013,2,HAZ-009,PENDING,
SYS-REQ-023,REQ-FUN-014,2,HAZ-009,PENDING,
SYS-REQ-023,REQ-SAFE-018,2,HAZ-009,PENDING,
SYS-REQ-024,REQ-FUN-012,3,HAZ-009,PENDING,
SYS-REQ-025,REQ-FUN-015,3,,PENDING,
SYS-REQ-026,REQ-FUN-015,3,,PENDING,
SYS-REQ-026,REQ-SAFE-005,3,"HAZ-001, HAZ-005",PENDING,
SYS-REQ-027,REQ-FUN-016,2,,PENDING,
SYS-REQ-027,REQ-INT-008,3,,PENDING,
SYS-REQ-028,REQ-FUN-017,3,,PENDING,
SYS-REQ-028,REQ-SAFE-011,3,,PENDING,
SYS-REQ-029,REQ-FUN-017,3,,PENDING,
