source_id,target_id,verified_by,verification_date,comments
TC-OSTS-BOUND-005,REQ-INT-007,,,
TC-OSTS-BOUND-007,REQ-INT-007,,,
TC-OSTS-BOUND-023,REQ-FUN-007,,,
TC-OSTS-FUNC-001,REQ-FUN-001,,,
TC-OSTS-FUNC-002,REQ-FUN-001,,,
TC-OSTS-FUNC-003,REQ-FUN-001,,,
TC-OSTS-FUNC-004,REQ-FUN-001,,,
TC-OSTS-FUNC-005,REQ-FUN-001,,,
TC-OSTS-FUNC-006,REQ-FUN-001,,,
TC-OSTS-FUNC-007,REQ-FUN-002,,,
TC-OSTS-FUNC-008,REQ-FUN-002,,,
TC-OSTS-FUNC-009,REQ-FUN-002,,,
TC-OSTS-FUNC-010,REQ-FUN-003,,,
TC-OSTS-FUNC-011,REQ-FUN-003,,,
TC-OSTS-FUNC-012,REQ-FUN-004,,,
TC-OSTS-FUNC-013,REQ-FUN-004,,,
TC-OSTS-FUNC-014,REQ-FUN-004,,,
TC-OSTS-FUNC-015,REQ-FUN-005,,,
TC-OSTS-FUNC-016,REQ-FUN-005,,,
TC-OSTS-FUNC-017,REQ-FUN-005,,,
TC-OSTS-FUNC-018,REQ-FUN-005,,,
TC-OSTS-FUNC-019,REQ-FUN-006,,,
TC-OSTS-FUNC-020,REQ-FUN-006,,,
TC-OSTS-FUNC-021,REQ-FUN-007,,,
TC-OSTS-FUNC-022,REQ-FUN-007,,,
TC-OSTS-FUNC-023,REQ-FUN-008,,,
TC-OSTS-FUNC-024,REQ-FUN-008,,,
TC-OSTS-FUNC-025,REQ-FUN-009,,,
TC-OSTS-FUNC-026,REQ-FUN-009,,,
TC-OSTS-FUNC-027,REQ-FUN-009,,,
TC-OSTS-FUNC-028,REQ-FUN-010,,,
TC-OSTS-FUNC-029,REQ-FUN-010,,,
TC-OSTS-FUNC-030,REQ-FUN-011,,,
TC-OSTS-FUNC-031,REQ-FUN-011,,,
TC-OSTS-FUNC-032,REQ-FUN-011,,,
